full_name,location,code,email,state,city,nome_suspeito
Femininos Oliveira Antunes,"Aratu (Candeias) , BA",1,femininos.oliveira.antunes@icloud.com,BA,Aratu  Candeia,True
Fernanda Azevedo Soares Nunes Vieira,"PE , Recife",2,nunes.fernanda.soares.azevedo.vieira@outlook.com,PE,Recife,False
Daniel Farias Ribeiro Teixeira,"Rio Grande,RS",3,farias.teixeira.daniel.ribeiro@gmail.com,RS,Rio Grande,False
Thiago Moreira,"AC , Rio Branco",4,thiago.moreira@gmail.com,AC,Rio Branco,False
Pedro Freitas,PA - Santarém Novo,5,pedro.freitas@icloud.com,PA,Santarém Novo,False
Antônia Coelho Pinheiro Peixoto Cavalcanti,"Fortaleza do Tabocão , TO",6,coelho.pinheiro.peixoto.antônia.cavalcanti@aol.com,TO,Fortaleza do Tabocão,False
Bianca Barros Rocha Torres Siqueira,PB/Cabedelo,7,torres.barros.rocha.bianca.siqueira@aol.com,PB,Cabedelo,False
Luiz Alves Pimentel,SE - Aracaju,8,pimentel.alves.luiz@outlook.com,SE,Aracaju,False
Lucas Guedes Cunha Lopes,PB - João Pessoa,9,lucas.lopes.guedes.cunha@tutanota.com,PB,João Pe oa,False
Débora Paiva,Santarém / PA,10,paiva.débora@gmx.com,PA,Santarém,False
Victor Torres Monteiro,BA - Porto Seguro,11,torres.monteiro.victor@gmail.com,BA,Porto Seguro,False
Rafael Pereira Barros,"TO , Fortaleza do Tabocão",12,rafael.pereira.barros@zoho.com,TO,Fortaleza do Tabocão,False
Carlos Guimarães Martins,PA / Santarém,13,martins.guimarães.carlos@hotmail.com,PA,Santarém,False
Gabriela Silva Vieira Amaral,"AM , Itacoatiara",14,vieira.silva.amaral.gabriela@icloud.com,AM,Itacoatiara,False
Carla Lopes Alves Pacheco Rocha,"Fortaleza do Tabocão,TO",15,lopes.alves.pacheco.rocha.carla@yahoo.com,TO,Fortaleza do Tabocão,False
Renata Pacheco Cardoso,"Fortaleza,CE",16,renata.pacheco.cardoso@zoho.com,CE,Fortaleza,False
Luís Paiva Costa Cardoso Coelho,MS - Corumbá,17,costa.paiva.luís.coelho.cardoso@aol.com,MS,Corumbá,False
Adriana Guedes Borges Alves Rocha,Santarém - PA,18,rocha.adriana.guedes.borges.alves@protonmail.com,PA,Santarém,False
Renata Lima Gomes Coelho Mendonça,Maceió / AL,19,renata.lima.mendonça.coelho.gomes@icloud.com,AL,Maceió,False
Bruno Silva,"PA , Santarém Novo",20,silva.bruno@zoho.com,PA,Santarém Novo,False
Sandra Rocha Oliveira Soares Peixoto,"AC,Rio Branco",21,peixoto.soares.rocha.oliveira.sandra@yahoo.com,AC,Rio Branco,False
Daniela Borges Vieira Farias Mendonça,SE / Aracaju,22,borges.vieira.daniela.mendonça.farias@protonmail.com,SE,Aracaju,False
Bruna Mendonça Rodrigues,Santos - SP,23,rodrigues.mendonça.bruna@aol.com,SP,Santo,False
Carla Peixoto Azevedo Silva Araújo,Laguna / SC,24,peixoto.carla.araújo.silva.azevedo@outlook.com,SC,Laguna,False
Femininos Antunes Lopes Ribeiro Amaral,ES / São Mateus,25,femininos.antunes.amaral.lopes.ribeiro@icloud.com,ES,São Mateu,True
Luiz Borges Gomes Araújo,Manaus/AM,26,gomes.araújo.borges.luiz@hotmail.com,AM,Manau,False
Flávia Nunes Martins Ribeiro Coelho,"Salvador,BA",27,nunes.flávia.coelho.martins.ribeiro@protonmail.com,BA,Salvador,False
Bianca Rodrigues,"PR , Antonina",28,rodrigues.bianca@icloud.com,PR,Antonina,False
Gabriela Moraes Macedo Nunes,"CE,Fortaleza",29,moraes.nunes.gabriela.macedo@icloud.com,CE,Fortaleza,False
Victor Araújo Azevedo Tavares Correia,Itacoatiara - AM,30,araújo.tavares.azevedo.victor.correia@gmail.com,AM,Itacoatiara,False
Jéssica Figueiredo Leite Martins,"São Luís,MA",31,jéssica.martins.leite.figueiredo@tutanota.com,MA,São Luí,False
Daniela Teixeira Antunes Coelho Batista,BA - Porto Seguro,32,antunes.coelho.batista.teixeira.daniela@hotmail.com,BA,Porto Seguro,False
Diego Costa Guedes Cunha,Rio Grande/RS,33,guedes.cunha.costa.diego@outlook.com,RS,Rio Grande,False
Victor Vieira Nunes Cunha,Fortaleza / CE,34,nunes.cunha.victor.vieira@protonmail.com,CE,Fortaleza,False
Priscila Martins,João Pessoa / PB,35,martins.priscila@tutanota.com,PB,João Pe oa,False
Francisca Ribeiro Pinheiro,Belém/PA,36,ribeiro.francisca.pinheiro@aol.com,PA,Belém,False
Jéssica Pimentel Borges Nunes Teixeira,"MA , Itaqui (São Luís)",37,nunes.borges.teixeira.pimentel.jéssica@yahoo.com,MA,Itaqui  São Luí,False
Mateus Antunes,TO/Fortaleza do Tabocão,38,mateus.antunes@gmail.com,TO,Fortaleza do Tabocão,False
Renata Oliveira Siqueira,PE / Suape (Ipojuca),39,oliveira.renata.siqueira@aol.com,PE,Suape  Ipojuca,False
Lucas Pacheco,"Corumbá,MS",40,pacheco.lucas@aol.com,MS,Corumbá,False
Pedro Ribeiro Costa Santos Correia,BA / Aratu (Candeias),41,costa.correia.ribeiro.santos.pedro@yahoo.com,BA,Aratu  Candeia,False
Márcia Figueiredo,Vila do Conde (Barcarena) - PA,42,márcia.figueiredo@protonmail.com,PA,Vila do Conde  Barcarena,False
Jéssica Farias Cunha,MA/Itaqui (São Luís),43,farias.jéssica.cunha@outlook.com,MA,Itaqui  São Luí,False
Rafael Paiva Vieira,Paranaguá / PR,44,rafael.vieira.paiva@icloud.com,PR,Paranaguá,False
Amanda Santos Figueiredo Rodrigues Siqueira,"Santarém,PA",45,figueiredo.siqueira.rodrigues.amanda.santos@tutanota.com,PA,Santarém,False
Ana Silva Costa Farias Coelho,Macapá/AP,46,costa.farias.coelho.ana.silva@hotmail.com,AP,Macapá,False
Gabriela Barros Lacerda,RJ / Niterói,47,lacerda.gabriela.barros@tutanota.com,RJ,Niterói,False
Letícia Torres Peixoto Oliveira,PE - Suape (Ipojuca),48,torres.oliveira.peixoto.letícia@yahoo.com,PE,Suape  Ipojuca,False
Diego Costa Tavares Antunes,SE/Aracaju,49,costa.tavares.antunes.diego@icloud.com,SE,Aracaju,False
